numero;b1;b2;b3;b4;b5;i1;i2;i3;i4;i5;n1;n2;n3;n4;n5;g1;g2;g3;g4;g5;o1;o2;o3;o4;o5
1;1;7;2;4;14;22;18;21;26;24;38;33;0;41;37;59;56;48;55;57;71;62;75;70;72
2;5;7;13;4;11;19;28;17;30;21;41;32;0;40;39;48;56;46;59;54;66;69;62;61;65
3;12;9;4;15;2;20;24;26;19;28;39;43;0;31;35;59;53;60;56;54;66;70;73;67;63
4;13;3;10;15;12;29;27;30;17;22;44;40;0;43;35;46;54;48;52;49;62;66;73;74;75
5;11;14;12;3;7;30;22;23;29;28;32;43;0;40;45;46;59;53;49;54;64;65;74;71;72
6;7;5;11;15;10;21;24;29;28;19;41;45;0;31;36;53;48;47;57;54;74;72;66;67;65
7;7;15;11;5;9;17;26;30;16;22;35;34;0;40;41;49;55;51;47;60;69;66;65;67;72
8;2;8;6;13;3;29;17;19;25;22;32;31;0;41;36;48;59;52;55;58;63;69;62;75;64
9;8;6;10;11;1;25;29;20;21;16;32;31;0;37;34;47;52;53;58;54;66;69;70;62;72
10;3;2;7;1;14;21;28;24;19;16;44;33;0;45;42;60;59;52;51;53;71;73;75;68;64
11;12;11;8;6;3;29;19;25;30;22;35;39;0;45;44;57;56;50;59;54;61;62;71;75;63
12;1;6;7;3;11;21;22;26;16;27;43;39;0;36;44;57;52;53;46;50;71;75;70;66;62
13;8;15;9;2;1;26;21;25;20;22;31;39;0;36;42;47;56;57;48;60;61;62;70;66;63
14;1;8;3;9;15;25;26;16;27;23;38;32;0;43;42;55;54;60;53;58;70;68;75;71;69
15;11;6;13;8;10;26;30;28;25;22;41;33;0;45;36;49;52;53;57;47;66;74;64;75;71
16;10;3;14;6;1;21;24;22;27;16;35;41;0;40;32;51;46;48;59;56;73;75;74;71;63
17;11;10;3;1;4;18;30;20;19;17;33;45;0;43;32;53;52;47;46;59;62;66;67;72;73
18;8;14;12;15;9;22;28;16;20;23;38;39;0;43;42;50;54;52;51;49;62;66;74;69;64
19;3;2;11;7;6;23;20;27;22;17;38;34;0;42;31;51;60;57;52;54;63;70;62;75;66
20;4;5;11;1;10;26;16;27;23;25;33;45;0;34;38;49;48;52;57;58;66;71;64;65;73
21;5;2;12;14;3;28;30;24;27;29;31;36;0;42;39;59;56;46;57;50;65;74;61;75;64
22;6;2;4;5;1;17;21;26;28;27;32;37;0;36;42;51;52;53;54;47;70;65;73;67;64
23;3;1;8;12;11;17;18;28;22;29;43;45;0;42;40;51;48;55;56;50;67;64;61;70;66
24;1;4;8;5;14;21;27;18;24;20;39;36;0;45;40;46;57;59;58;54;71;73;69;61;75
25;11;1;12;6;8;16;27;28;24;21;37;36;0;43;31;56;46;48;58;49;62;70;63;75;72
26;7;6;2;9;1;21;29;30;18;17;36;33;0;31;44;55;56;53;51;49;69;74;61;70;62
27;15;4;3;7;9;17;27;30;22;19;42;34;0;37;39;57;50;46;47;60;71;70;75;66;65
28;8;3;2;12;9;16;30;17;18;22;43;33;0;44;34;56;51;57;52;60;65;61;74;68;69
