numero;b1;b2;b3;b4;b5;i1;i2;i3;i4;i5;n1;n2;n3;n4;n5;g1;g2;g3;g4;g5;o1;o2;o3;o4;o5
1;4;12;10;9;2;18;20;21;28;16;41;38;0;36;37;49;52;58;48;59;64;74;67;62;73
2;10;13;8;2;9;21;17;25;29;28;38;37;0;44;36;51;54;48;59;49;62;65;64;69;68
3;3;9;14;4;8;26;27;28;17;21;32;42;0;34;40;49;59;47;51;60;72;67;70;75;63
4;4;5;13;12;6;23;18;25;28;16;34;41;0;31;40;49;58;60;48;55;75;67;70;69;71
5;11;14;8;15;7;29;16;23;17;26;33;38;0;34;39;50;52;48;46;47;68;67;61;63;73
6;2;6;5;9;11;17;26;20;29;27;43;42;0;33;38;56;46;58;48;50;67;75;66;63;73
7;13;1;2;14;11;16;20;28;23;26;31;35;0;37;41;57;48;51;55;54;62;73;72;75;71
8;4;15;13;7;10;30;24;23;29;28;45;41;0;42;35;56;52;59;58;48;72;74;69;67;75
9;2;9;4;3;11;28;19;22;17;24;39;41;0;31;33;60;54;51;48;55;61;73;69;68;62
10;9;15;11;12;5;30;17;22;25;23;34;45;0;41;32;46;48;55;58;57;73;71;69;63;64
11;8;5;12;4;9;18;22;16;19;26;42;38;0;33;39;56;54;47;57;48;67;64;73;72;68
12;8;3;2;4;15;23;27;28;29;20;39;41;0;32;44;60;55;52;57;56;68;62;73;75;61
13;2;14;11;13;6;16;19;20;22;25;43;38;0;35;39;50;46;59;60;58;67;71;66;63;73
14;12;13;11;9;14;23;19;22;26;18;42;34;0;31;33;56;48;50;46;60;70;68;67;65;62
15;11;9;10;5;15;28;25;27;21;30;36;42;0;39;32;50;46;54;57;47;73;64;74;63;68
16;3;11;8;6;15;27;18;29;23;22;42;36;0;45;40;57;59;55;52;46;64;70;68;75;71
17;11;9;3;6;15;29;16;21;23;26;39;32;0;38;31;52;56;46;50;55;61;72;69;67;71
